instrument_id,timestamp,action,reason,stop_distance,approved
ZZ0000000008:XETR:EUR,2024-01-03T15:00:00Z,EXIT,close-observed take profit,0.21033125739752223,True
ZZ0000000008:XETR:EUR,2024-01-03T15:15:00Z,LONG,momentum,0.21691746172297194,True
ZZ0000000008:XETR:EUR,2024-01-03T15:30:00Z,EXIT,close-observed take profit,0.2290443521525058,True
ZZ0000000008:XETR:EUR,2024-01-04T09:20:00Z,LONG,momentum,0.18190982617869267,True
ZZ0000000008:XETR:EUR,2024-01-04T09:55:00Z,EXIT,close-observed take profit,0.1995123515001954,True
ZZ0000000008:XETR:EUR,2024-01-04T10:05:00Z,LONG,momentum,0.22343533956232062,True
ZZ0000000008:XETR:EUR,2024-01-04T10:55:00Z,EXIT,signal reversal,0.21896464061704585,True
ZZ0000000008:XETR:EUR,2024-01-04T11:55:00Z,LONG,momentum,0.2321410995350734,True
ZZ0000000008:XETR:EUR,2024-01-04T12:25:00Z,EXIT,close-observed take profit,0.2573590641810384,True
ZZ0000000008:XETR:EUR,2024-01-04T13:35:00Z,LONG,momentum,0.16683301845991394,True
ZZ0000000008:XETR:EUR,2024-01-04T13:50:00Z,EXIT,close-observed take profit,0.18870802997986452,True
ZZ0000000008:XETR:EUR,2024-01-04T14:15:00Z,LONG,momentum,0.22100119020109177,True
ZZ0000000008:XETR:EUR,2024-01-04T15:20:00Z,EXIT,close-observed take profit,0.19237704539826644,True
ZZ0000000008:XETR:EUR,2024-01-04T15:25:00Z,LONG,momentum,0.195128867556925,True
ZZ0000000008:XETR:EUR,2024-01-04T15:55:00Z,EXIT,signal reversal,0.18794906612575396,True
ZZ0000000008:XETR:EUR,2024-01-05T08:50:00Z,LONG,momentum,0.2359396442683439,True
ZZ0000000008:XETR:EUR,2024-01-05T09:30:00Z,EXIT,close-observed take profit,0.23496952831275508,True
ZZ0000000008:XETR:EUR,2024-01-05T09:35:00Z,LONG,momentum,0.2413587919188091,True
ZZ0000000008:XETR:EUR,2024-01-05T10:35:00Z,EXIT,signal reversal,0.21857974103680128,True
ZZ0000000008:XETR:EUR,2024-01-05T11:05:00Z,LONG,momentum,0.21544105211891917,True
ZZ0000000008:XETR:EUR,2024-01-05T11:50:00Z,EXIT,close-observed take profit,0.26106810888580967,True
ZZ0000000008:XETR:EUR,2024-01-05T12:00:00Z,LONG,momentum,0.24913759591675091,True
ZZ0000000008:XETR:EUR,2024-01-05T12:45:00Z,EXIT,close-observed take profit,0.2196989864785992,True
ZZ0000000008:XETR:EUR,2024-01-05T12:55:00Z,LONG,momentum,0.202655106385293,True
ZZ0000000008:XETR:EUR,2024-01-05T13:30:00Z,EXIT,close-observed take profit,0.20839963210935203,True
ZZ0000000008:XETR:EUR,2024-01-05T14:00:00Z,LONG,momentum,0.2506548316162649,True
ZZ0000000008:XETR:EUR,2024-01-05T14:35:00Z,EXIT,signal reversal,0.2732045397141657,True
ZZ0000000008:XETR:EUR,2024-01-08T08:50:00Z,LONG,momentum,0.2374511279781483,True
ZZ0000000008:XETR:EUR,2024-01-08T09:30:00Z,EXIT,signal reversal,0.2056342750156419,True
ZZ0000000008:XETR:EUR,2024-01-08T09:50:00Z,LONG,momentum,0.23522907997691633,True
ZZ0000000008:XETR:EUR,2024-01-08T10:10:00Z,EXIT,signal reversal,0.21336635019341493,True
ZZ0000000008:XETR:EUR,2024-01-08T11:10:00Z,LONG,momentum,0.2008736298641196,True
ZZ0000000008:XETR:EUR,2024-01-08T11:30:00Z,EXIT,close-observed take profit,0.20858511220872447,True
ZZ0000000008:XETR:EUR,2024-01-08T12:05:00Z,LONG,momentum,0.2592338706102133,True
ZZ0000000008:XETR:EUR,2024-01-08T12:35:00Z,EXIT,signal reversal,0.2385208886573698,True
ZZ0000000008:XETR:EUR,2024-01-08T13:10:00Z,LONG,momentum,0.22903398322389026,True
ZZ0000000008:XETR:EUR,2024-01-08T13:45:00Z,EXIT,close-observed take profit,0.21764644178056258,True
ZZ0000000008:XETR:EUR,2024-01-08T14:05:00Z,LONG,momentum,0.24183872007636253,True
ZZ0000000008:XETR:EUR,2024-01-08T14:40:00Z,EXIT,close-observed take profit,0.23513330330083448,True
ZZ0000000008:XETR:EUR,2024-01-08T15:15:00Z,LONG,momentum,0.21090624198980534,True
ZZ0000000008:XETR:EUR,2024-01-08T15:35:00Z,EXIT,signal reversal,0.21762989617526074,True
ZZ0000000008:XETR:EUR,2024-01-09T08:50:00Z,LONG,momentum,0.246400784496937,True
ZZ0000000008:XETR:EUR,2024-01-09T09:25:00Z,EXIT,close-observed take profit,0.2491761327821358,True
ZZ0000000008:XETR:EUR,2024-01-09T10:00:00Z,LONG,momentum,0.22581499387582782,True
ZZ0000000008:XETR:EUR,2024-01-09T10:30:00Z,EXIT,signal reversal,0.24029355512991962,True
ZZ0000000008:XETR:EUR,2024-01-09T11:35:00Z,LONG,momentum,0.20507834458506785,True
ZZ0000000008:XETR:EUR,2024-01-09T12:10:00Z,EXIT,signal reversal,0.22350428236906644,True
ZZ0000000008:XETR:EUR,2024-01-09T12:40:00Z,LONG,momentum,0.2156439399505073,True
ZZ0000000008:XETR:EUR,2024-01-09T13:30:00Z,EXIT,signal reversal,0.20883110810964617,True
ZZ0000000008:XETR:EUR,2024-01-09T13:45:00Z,LONG,momentum,0.22450952313766845,True
ZZ0000000008:XETR:EUR,2024-01-09T14:10:00Z,EXIT,close-observed stop,0.23500165786616684,True
ZZ0000000008:XETR:EUR,2024-01-09T14:45:00Z,LONG,momentum,0.25901202469685863,True
ZZ0000000008:XETR:EUR,2024-01-09T15:25:00Z,EXIT,signal reversal,0.2567608188938567,True
ZZ0000000008:XETR:EUR,2024-01-10T09:05:00Z,LONG,momentum,0.21425931430885217,True
ZZ0000000008:XETR:EUR,2024-01-10T09:40:00Z,EXIT,close-observed take profit,0.2563327225549895,True
ZZ0000000008:XETR:EUR,2024-01-10T09:45:00Z,LONG,momentum,0.25487192171118367,True
ZZ0000000008:XETR:EUR,2024-01-10T10:10:00Z,EXIT,signal reversal,0.24937937117498774,True
ZZ0000000008:XETR:EUR,2024-01-10T11:25:00Z,LONG,momentum,0.2624888985615179,True
ZZ0000000008:XETR:EUR,2024-01-10T12:25:00Z,EXIT,signal reversal,0.22039286904361127,True
ZZ0000000008:XETR:EUR,2024-01-10T13:25:00Z,LONG,momentum,0.26055963808002197,True
ZZ0000000008:XETR:EUR,2024-01-10T13:55:00Z,EXIT,close-observed take profit,0.2829733687150591,True
ZZ0000000008:XETR:EUR,2024-01-10T14:15:00Z,LONG,momentum,0.25170007371725744,True
ZZ0000000008:XETR:EUR,2024-01-10T14:45:00Z,EXIT,close-observed take profit,0.21910755254914754,True
ZZ0000000008:XETR:EUR,2024-01-11T09:25:00Z,LONG,momentum,0.2548979094178827,True
ZZ0000000008:XETR:EUR,2024-01-11T09:55:00Z,EXIT,close-observed take profit,0.2412984719906969,True
ZZ0000000008:XETR:EUR,2024-01-11T10:00:00Z,LONG,momentum,0.2434156552775646,True
ZZ0000000008:XETR:EUR,2024-01-11T10:10:00Z,EXIT,close-observed stop,0.2502113233191646,True
ZZ0000000008:XETR:EUR,2024-01-11T10:40:00Z,LONG,momentum,0.27527376745470633,True
ZZ0000000008:XETR:EUR,2024-01-11T11:20:00Z,EXIT,close-observed take profit,0.26897193466036895,True
ZZ0000000008:XETR:EUR,2024-01-11T11:50:00Z,LONG,momentum,0.2760039107539143,True
ZZ0000000008:XETR:EUR,2024-01-11T12:10:00Z,EXIT,close-observed take profit,0.29097361521853266,True
ZZ0000000008:XETR:EUR,2024-01-11T12:20:00Z,LONG,momentum,0.3080911061762127,True
ZZ0000000008:XETR:EUR,2024-01-11T12:50:00Z,EXIT,close-observed take profit,0.2976703908750343,True
ZZ0000000008:XETR:EUR,2024-01-11T12:55:00Z,LONG,momentum,0.2936256965316473,True
ZZ0000000008:XETR:EUR,2024-01-11T13:45:00Z,EXIT,close-observed take profit,0.28646179831071295,True
ZZ0000000008:XETR:EUR,2024-01-11T14:10:00Z,LONG,momentum,0.227894262843027,True
ZZ0000000008:XETR:EUR,2024-01-11T14:30:00Z,EXIT,signal reversal,0.2223276626453199,True
ZZ0000000008:XETR:EUR,2024-01-11T15:05:00Z,LONG,momentum,0.2418149194254115,True
ZZ0000000008:XETR:EUR,2024-01-11T15:40:00Z,EXIT,close-observed take profit,0.2749440037660124,True
ZZ0000000008:XETR:EUR,2024-01-12T10:05:00Z,LONG,momentum,0.2884739069640442,True
ZZ0000000008:XETR:EUR,2024-01-12T10:35:00Z,EXIT,close-observed take profit,0.2926296408933504,True
ZZ0000000008:XETR:EUR,2024-01-12T10:40:00Z,LONG,momentum,0.30668075360758096,True
ZZ0000000008:XETR:EUR,2024-01-12T11:25:00Z,EXIT,close-observed take profit,0.2569463624627498,True
ZZ0000000008:XETR:EUR,2024-01-12T13:30:00Z,LONG,momentum,0.23217044144975119,True
ZZ0000000008:XETR:EUR,2024-01-12T14:05:00Z,EXIT,signal reversal,0.25048958664903154,True
ZZ0000000008:XETR:EUR,2024-01-12T15:20:00Z,LONG,momentum,0.22193449450759925,True
ZZ0000000008:XETR:EUR,2024-01-12T16:00:00Z,EXIT,signal reversal,0.2536291773424273,True
